,,P(i),sum over all n(ij),Total Responses,Organism,Environment,Quality,Mat & Subst,Method,Data Type,Process,Anatomy,Location,Time,Event,Person & Org,Human Inter,Other,None,other category,comment
,land-use type,0.6666666666666666,20,6,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,,
molecularComp,organic matter context,0.13333333333333333,4,6,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,var / context,organic matter context & molecular composition of the groundwater -> quality of environment?
,organic matter,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
,molecular composition of the groundwater,0.06666666666666667,2,6,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,var::Parameter,
,groundwater,0.6666666666666666,20,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,,
foodWebs,food webs,0.13333333333333333,4,6,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,biod. var.,I do not know where to place food webs.
,north sea,0.4666666666666667,14,6,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,,
archaeaSpecies,archaea species,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,upper soil,0.4666666666666667,14,6,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,,
,groundwater,1.0,30,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
monoCulture,feed of grasshopper,0.06666666666666667,2,6,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,,
,grasshopper,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,natural habitat,0.6666666666666666,20,6,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,,
,mono-culture,0.4,12,6,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,,
,gut microbiome,0.06666666666666667,2,6,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,,
higherBiodiversity,cities,0.4,12,6,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,,
,biodiversity,0.26666666666666666,8,6,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,biod. var.::Ecosystem parameter,
,agricultural areas,0.4,12,6,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,,
varietiesLatvia,varieties of Erysiphe aquilegiae,0.26666666666666666,8,6,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,Parameter,
,Erysiphe aquilegiae,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Latvia,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
treeInsect,trees,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,insects,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,location,0.6666666666666666,20,6,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,,
leafAreaIndex,leaf area index,0.06666666666666667,2,6,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,parameter::Ecosystem parameter,in this case (leaf area index) diversity could be a trait of plants
,diversity,0.13333333333333333,4,6,1,0,2,0,0,0,0,0,0,0,0,0,0,2,1,Ecosystem service,
microbialCom,vertical transport of microbial communities,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,microbial communities,0.4,12,6,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,biod. var.,
,microbial,0.26666666666666666,8,6,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,,
microbs,microbes,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,aquifer surfaces,0.6666666666666666,20,6,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,,
,aquifer,0.6666666666666666,20,6,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,,
wellHYZ,types of bacteria,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,H.Y.Z.,0.4,12,6,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,?,
copepodEggs,eggs per day,0.26666666666666666,8,6,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,rate::Paramter,
,eggs,0.26666666666666666,8,6,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,,
,copepods,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
megafauna,megafauna,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,echinoderms,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,abundance,0.13333333333333333,4,6,0,0,2,0,0,1,1,0,0,0,0,0,0,2,0,biodiv. var.::Ecosystem parameter,
,trawls,0.2,6,6,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,?,
,images,0.6666666666666666,20,6,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,,
insectAbundances,abundances of insects,0.2,6,6,0,0,1,0,0,1,1,0,0,0,0,0,0,3,0,biod. var.::Parameter,beeches and spruces could also be environment in this case
,insects,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,canopies,0.4,12,6,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,biod. term,
,beeches,0.6666666666666666,20,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,spruces,0.6666666666666666,20,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
waterParameters,water patterns,0.13333333333333333,4,6,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,parameter?,
,VLP counts,0.26666666666666666,8,6,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,?,
zone,critical zone,0.4666666666666667,14,6,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,,could also be a location
protectionZones,groundwater protection zones,0.4666666666666667,14,6,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,,
,groundwater,0.6666666666666666,20,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,,
tracerFactor,tracer,0.13333333333333333,4,6,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,,I am not quite sure about placing tracer as a method.
aquiferRocks,aquifer rocks,0.4,12,6,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,
,aquifer,0.6666666666666666,20,6,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,,
bioPores,earthworm burrows(biopores),0.0,0,6,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,var,earthworm burrows(biopores) -> quality of environment?
,earthworm,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,infiltration processes,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,transport processes,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,rainfall events,0.6666666666666666,20,6,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,,
oxicAquifer,microbial key-players,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,oxic -> quality of environment?
,microbial,0.06666666666666667,2,6,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,
,oxic acquifer,1.0,30,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,oxic,0.2,6,6,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,,
driverTransport,driver,0.13333333333333333,4,6,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,domain term,I do not know whether the driver can be an organism or a process or both.
,deposition,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,transport of marine phages,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,marine phage,0.6666666666666666,20,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
,transport of terrestrial phages,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,terrestrial phages,0.6666666666666666,20,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
,subsurface,0.4666666666666667,14,6,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,,
globalFrog,global frog distribution,0.13333333333333333,4,6,0,0,1,0,0,2,0,0,1,0,0,0,0,2,0,biod. var.::Parameter,
,global,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
,frog,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
plantDiversity,plant diversity,0.26666666666666666,8,6,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,biod. var.::Parameter,
,plant,0.6666666666666666,20,6,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
,species richness,0.26666666666666666,8,6,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,biod. var.::Parameter,
,functional group composition,0.26666666666666666,8,6,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,biod. var.::Parameter,
,functional group,0.2,6,6,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,biod. var.,
,root decomposition,0.6666666666666666,20,6,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,,
,root,0.4,12,6,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,plant part,
,grassland,1.0,30,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
groundwaterSig,surface signals,0.06666666666666667,2,6,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,var,
,surface,0.4,12,6,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,,
,groundwater,0.6666666666666666,20,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,,
thalassemaThala,populations of Thalassema thalassemum,0.4,12,6,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,biod. var.,
,Thalassema thalassemum,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,reproductive period,0.26666666666666666,8,6,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,,
,year,1.0,30,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,,
treePopulation,lidar data,0.6666666666666666,20,6,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,,
,air,0.26666666666666666,8,6,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,,
,soils,0.4,12,6,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,,
,tree population,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
climateChangeE,climate change,0.4666666666666667,14,6,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,,


,Summary,,,,719,583,271,414,54,153,388,57,308,40,42,14,54,305,150
,P,0.5646396396396397,,p(j),0.20242117117117117,0.16413288288288289,0.07629504504504504,0.11655405405405406,0.015202702702702704,0.04307432432432432,0.10923423423423423,0.016047297297297296,0.08671171171171171,0.01126126126126126,0.011824324324324325,0.003941441441441441,0.015202702702702704,0.08586711711711711,0.04222972972972973,
,,,,Pe,0.11878458906541675
,,,,p(j)(I),0.16144684063286258,0.13719327963943673,0.0704741111466196,0.10296920653761871,0.01497158053323594,0.04121892690832724,0.09730211630549468,0.01578978154674945,0.07919279076373671,0.011134445256066878,0.011684509678597518,0.003925906480805129,0.01497158053323594,0.0784939553151124,0.04044637965668371,
,,,,Pe(I),0.0629439579238988
,Fleiss Kappa,0.5059546678846278
,GWET,0.5353955998236833
